"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Household spending by household type","11100224","203-0023","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022401",3;4;6;7;11;14,"CURRENT - a cube available to the public and that is current","Annual","2010-01-01","2021-01-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Statistic",,""
"3","Household type",,""
"4","Household expenditures, summary-level categories",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"4","Parking at rented living quarters (excluding amounts reported with rent)","","56","8","",,
"4","Mortgage paid for owned living quarters","","57","9","",,
"4","Repairs and maintenance for owned living quarters","","58","9","",15,
"4","Condominium fees for owned living quarters","","59","9","",,
"4","Property and school taxes for owned living quarters","","60","9","",,
"4","Homeowners' insurance premiums for owned living quarters","","61","9","",,
"4","Other expenditures for owned living quarters","","62","9","",,
"4","Water and sewage for principal accommodation","","69","10","",,
"4","Electricity for principal accommodation","","70","10","",,
"4","Natural gas for principal accommodation","","71","10","",,
"4","Other fuel for principal accommodation","","72","10","",,
"4","Owned secondary residences","","73","11","",,
"4","Other owned properties","","79","11","",,
"4","Accommodation away from home","","80","11","",,
"4","Communications","","13","12","",,
"4","Domestic and other custodial services (excluding child care)","","90","12","",,
"4","Pet expenses","","91","12","",,
"4","Household cleaning supplies and equipment","","95","12","",,
"4","Paper, plastic and foil supplies","","99","12","",,
"4","Garden supplies and services","","103","12","",,
"4","Other household supplies","","107","12","",,
"4","Child care","","108","12","",,
"4","Telephone","","83","13","",,
"4","Internet access services","","87","13","",,
"4","Digital services","","88","13","",15,
"4","Postal, courier and other communication services","","89","13","t",,
"4","Postal, courier, delivery and other communication services","","324","13","",,
"4","Household furnishings","","15","14","",,
"4","Household equipment","","16","14","",,
"4","Maintenance, rental, repairs and services related to household furnishings and equipment","","128","14","",,
"4","Services related to household furnishings and equipment","","129","14","",,
"4","Furniture","","111","15","",,
"4","Rugs, mats and underpadding","","112","15","",,
"4","Art, antiques and decorative ware","","113","15","t",,
"4","Linens","","114","15","",,
"4","Other household furnishings (curtains, mirrors and picture frames)","","115","15","",,
"4","Works of art, carvings and other decorative ware","","325","15","",,
"4","Household appliances","","17","16","",,
"4","Other household equipment","","123","16","",,
"4","Refrigerators and freezers","","116","17","",,
"4","Microwave ovens","","117","17","t",,
"4","Cooking appliances","","118","17","t",,
"4","Washers and dryers","","119","17","t",,
"4","Dishwashers","","120","17","t",,
"4","Room air conditioners, portable humidifiers and dehumidifiers","","121","17","",,
"4","Other electric equipment and appliances (including parts and attachments)","","122","17","",,
"4","Microwave ovens and cooking appliances","","326","17","",,
"4","Washers, dryers and dishwashers","","327","17","",,
"4","Men's and boys' wear (men and boys aged 4 years and over)","","141","18","t",,
"4","Children's wear (children under 4 years)","","150","18","t",,
"4","Gifts of clothing for non-household members","","153","18","t",,
"4","Clothing material, yarn, thread and other notions","","154","18","",,
"4","Clothing services","","155","18","",,
"4","Women's and girls' wear (women and girls aged 4 years and over)","","132","18","t",,
"4","Women's and girls' wear (women and girls aged 14 years and over)","","328","18","",12,
"4","Men's and boys' wear (men and boys aged 14 years and over)","","331","18","",12,
"4","Children's wear (children under 14 years of age)","","334","18","",12,
"4","Athletic footwear","","337","18","",12,
"4","Accessories","","338","18","",12,
"4","Watches and jewellery","","339","18","",12,
"4","Private transportation","","24","23","",,
"4","Public transportation","","25","23","",,
"4","Private use automobiles, vans and trucks","","159","24","",,
"4","Rented automobiles, vans and trucks","","170","24","",,
"4","Automobile, van and truck operations","","171","24","",,
"4","City or commuter bus, subway, streetcar and commuter train","","183","25","",,
"4","Taxi (including tips)","","184","25","",,
"4","Other local passenger transportation","","185","25","",,
"4","Airplane","","186","25","",,
"4","Other inter-city passenger transportation services","","188","25","",,
"4","Household moving, storage and delivery services","","189","25","t",,
"4","Inter-city bus","","187","25","",,
"4","Peer-to-peer ride services","","342","25","",,
"4","Household moving and storage services","","343","25","",,
"4","Direct health care costs to household","","27","26","",,
"4","Health insurance premiums","","28","26","t",8,
"4","Private health insurance plan premiums","","203","26","",,
"4","Non-prescribed medicines, pharmaceutical products, health care supplies and equipment","","191","27","",,
"4","Health care services","","192","27","",,
"4","Eye-care goods and services","","197","27","",,
"4","Dental services","","201","27","",,
"4","Prescribed medicines, pharmaceutical products and cannabis for medical use","","344","27","",,
"4","Public hospital, medical and drug plan premiums","","202","28","t",8,
"4","Personal care products","","207","29","",,
"4","Personal care services","","217","29","",,
"4","Recreational equipment and related services","","31","30","",,
"4","Home entertainment equipment and services","","32","30","",,
"4","Recreational services","","33","30","",,
"4","Recreational vehicles and associated services","","34","30","",,
"4","Sports, athletic and recreational equipment and related services","","220","31","",,
"4","Outdoor play equipment and accessories","","221","31","",,
"4","Children's toys","","222","31","",,
"4","Video game systems and accessories (excluding for computers)","","223","31","",,
"4","Art and craft materials","","224","31","",,
"4","Computer equipment and supplies","","225","31","",,
"4","Photographic goods and services","","229","31","",,
"4","Collectors' items (e.g. stamps, coins)","","232","31","t",,
"4","Other recreational equipment and related services","","233","31","t",,
"4","Other recreational equipment","","348","31","",,
"4","Home entertainment equipment","","234","32","",,
"4","Home entertainment services","","242","32","",,
"4","Entertainment","","245","33","",,
"4","Use of recreation facilities","","252","33","t",,
"4","Package trips","","255","33","",,
"4","Other recreational activities and services","","256","33","t",,
"4","Use of recreational facilities and fees for other recreational activities","","354","33","",,
"4","Other recreational services","","357","33","",,
"4","Operation of recreational vehicles","","262","34","",,
"4","Purchase of recreational vehicles","","257","34","",,
"4","Tuition fees","","267","35","",,
"4","Textbooks and school supplies","","273","35","",,
"4","Newspapers","","274","36","",,
"4","Magazines and periodicals","","275","36","",,
"4","Books and E-Books (excluding school books)","","276","36","",,
"4","Maps, sheet music and other printed matter","","277","36","",,
"4","Services related to reading materials (e.g. photocopying, library fees)","","278","36","",,
"4","Cannabis for non-medical use","","361","37","",,
"4","Tobacco products and smokers' supplies","","279","37","",,
"4","Alcoholic beverages","","282","37","",,
"4","Government-run lotteries","","286","38","",,
"4","Other games of chance","","287","38","",,
"4","Financial services","","290","39","",,
"4","Other miscellaneous goods and services","","295","39","",,
"4","Employment insurance and Quebec parental insurance premiums","","307","41","",,
"4","Retirement and pension fund payments","","308","41","",,
"4","Annuity contracts and transfers to RRIFs","","309","41","t",,
"4","Premiums on life, term and endowment insurance","","310","41","",,
"4","Gifts of money and support payments","","311","42","",,
"4","Charitable contributions","","315","42","",,
"4","Commissions for sale of real estate owned by the household","","63","62","",,
"4","Legal fees related to owned living quarters","","64","62","",,
"4","Mortgage insurance premiums for owned living quarters","","65","62","",,
"4","Registration fees, renewal fees and early renewal or closing penalties for owned living quarters","","67","62","",,
"4","Transfer taxes and land registration fees for owned living quarters","","68","62","",,
"4","All other expenses related to owned living quarters (excluding repairs and maintenance)","","316","62","",,
"4","Mortgage paid for owned secondary residences","","74","73","",,
"4","Property taxes and sewage charges for owned secondary residences","","75","73","t",,
"4","Insurance premiums for owned secondary residences","","76","73","",,
"4","Electricity, water and fuel for owned secondary residences","","77","73","t",,
"4","Other expenses for owned secondary residences","","78","73","",,
"4","Property and school taxes, water and sewage charges for owned secondary residences","","318","73","",,
"4","Electricity and fuel (e.g. natural gas and wood) for owned secondary residences","","319","73","",,
"4","Communication and home security services (e.g. landline telephone, television, satellite radio and Internet) for owned secondary residences","","320","73","",,
"4","Hotels and motels","","81","80","",,
"4","Other accommodation away from home","","82","80","",,
"4","Landline telephone services","","84","83","",,
"4","Cell phone and pager services","","85","83","",,
"4","Purchase of telephones and equipment","","86","83","",,
"4","Pet food","","92","91","t",,
"4","Purchase of pets and pet-related goods","","93","91","t",15,
"4","Veterinarian and other services","","94","91","",,
"4","Pet food and pet-related goods","","365","91","",,
"4","Purchase of pets","","366","91","",,
"4","Detergent and other soaps","","96","95","",,
"4","Other household cleaning supplies","","97","95","",,
"4","Cleaning equipment (non-electric)","","98","95","",,
"4","Stationery (excluding school supplies)","","100","99","",,
"4","Other paper supplies","","101","99","",,
"4","Plastic and foil supplies","","102","99","",,
"4","Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds","","104","103","",,
"4","Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners","","105","103","",,
"4","Groundskeeping services, snow and garbage removal","","106","103","",,
"4","Child care outside the home","","109","108","",,
"4","Child care in the home (regular and occasional)","","110","108","",,
"4","Home and workshop tools and equipment","","124","123","",,
"4","Lawn, garden and snow-removal equipment and tools","","125","123","",,
"4","Non-electric kitchen and cooking equipment","","126","123","",,
"4","Other household equipment, parts and accessories","","127","123","",,
"4","Rental of heating equipment","","130","129","",,
"4","Home security services","","131","129","",,
"4","Clothing (women and girls aged 4 years and over)","","133","132","t",,
"4","Footwear (women and girls aged 4 years and over)","","134","132","t",,
"4","Accessories (women and girls aged 4 years and over)","","137","132","t",,
"4","Watches and jewellery (women and girls aged 4 years and over)","","138","132","t",,
"4","Clothing (women and girls aged 14 years and over)","","329","132","",,
"4","Footwear (women and girls aged 14 years and over)","","330","132","",,
"4","Athletic footwear (women and girls aged 4 years and over)","","135","134","t",,
"4","Other footwear (women and girls aged 4 years and over)","","136","134","t",,
"4","Jewellery (women and girls aged 4 years and over)","","140","138","t",,
"4","Watches (women and girls aged 4 years and over)","","139","138","t",,
"4","Clothing (men and boys aged 4 years and over)","","142","141","t",,
"4","Footwear (men and boys aged 4 years and over)","","143","141","t",,
"4","Accessories (men and boys aged 4 years and over)","","146","141","t",,
"4","Watches and jewellery (men and boys aged 4 years and over)","","147","141","t",,
"4","Clothing (men and boys aged 14 years and over)","","332","141","",,
"4","Footwear (men and boys aged 14 years and over)","","333","141","",,
"4","Athletic footwear (men and boys aged 4 years and over)","","144","143","t",,
"4","Other footwear (men and boys aged 4 years and over)","","145","143","t",,
"4","Watches (men and boys aged 4 years and over)","","148","147","t",,
"4","Jewellery (men and boys aged 4 years and over)","","149","147","t",,
"4","Clothing and cloth diapers (children under 4 years)","","151","150","t",,
"4","Footwear (children under 4 years)","","152","150","t",,
"4","Clothing and cloth diapers (children under 14 years of age)","","335","150","",,
"4","Footwear (children under 14 years of age)","","336","150","",,
"4","Laundry and dry-cleaning services","","156","155","t",,
"4","Laundromats and self-service dry cleaning","","157","155","t",,
"4","Services for clothing, footwear and jewellery","","158","155","",,
"4","Laundromats, dry-cleaning and laundry services","","340","155","",,
"4","Purchase of automobiles, vans and trucks","","160","159","",,
"4","Accessories for automobiles, vans and trucks","","164","159","",,
"4","Fees for leased automobiles, vans and trucks","","165","159","",,
"4","Automobiles (purchase)","","161","160","",,
"4","Vans (including mini-vans, purchase)","","162","160","",,
"4","Trucks (including sport utility vehicles, purchase)","","163","160","",,
"4","Regular fees for leased automobiles, vans and trucks","","166","165","",,
"4","Other costs for leased automobiles, vans and trucks (include down payment and closing costs)","","169","165","",,
"4","Regular fees for leased automobiles","","167","166","",,
"4","Regular fees for leased vans and trucks","","168","166","",,
"4","Registration fees for automobiles, vans and trucks (including insurance if part of registration)","","172","171","",5,
"4","Private and public vehicle insurance premiums","","173","171","",5,
"4","Tires, batteries, and other parts and supplies for vehicles","","174","171","",,
"4","Maintenance and repairs of vehicles","","175","171","",,
"4","Vehicle security and communication services","","176","171","t",,
"4","Gas and other fuels (all vehicles and tools)","","177","171","",,
"4","Other automobile, van and truck operation services","","178","171","t",,
"4","Parking (excluding parking fees included in rent and traffic and parking tickets)","","179","171","",,
"4","Drivers' licences and tests, and driving lessons","","180","171","",,
"4","Vehicle operation, security and communication services","","341","171","",,
"4","Drivers' licences and tests","","181","180","",,
"4","Driving lessons","","182","180","",,
"4","Health care practitioners (excluding general practitioners and specialists)","","193","192","",,
"4","Health care by general practitioners and specialists","","194","192","",,
"4","Weight control programs, smoking cessation programs and other medical services","","195","192","",,
"4","Hospital care, nursing homes and other residential care facilities","","196","192","",,
"4","Prescription eye wear","","198","197","",,
"4","Non-prescription eye wear and other eye-care goods","","199","197","",,
"4","Eye-care services (e.g. surgery, exams)","","200","197","",,
"4","Private health care plan premiums","","204","203","t",,
"4","Dental plan premiums","","205","203","t",,
"4","Accident or disability insurance premiums","","206","203","",,
"4","Private health and dental plan premiums","","346","203","",,
"4","Hair care products","","208","207","",,
"4","Makeup, skin care, manicure and fragrance products","","209","207","",,
"4","Personal deodorants","","212","207","",,
"4","Body soaps","","213","207","",,
"4","Oral hygiene products","","214","207","",,
"4","Disposable diapers","","215","207","",,
"4","Other personal care supplies and equipment","","216","207","",,
"4","Makeup, skin care and manicure products","","210","209","",,
"4","Fragrance products","","211","209","",,
"4","Hair grooming services","","218","217","",,
"4","Other personal care services","","219","217","",,
"4","Computer hardware","","226","225","",,
"4","Computer software and video game systems","","227","225","",,
"4","Computer supplies and other equipment","","228","225","",,
"4","Tablet computers","","317","225","",,
"4","E-Book readers","","321","225","",,
"4","Wearable electronic devices","","322","225","",,
"4","Cameras and accessories","","230","229","t",,
"4","Photographic services","","231","229","",,
"4","Camcorders, cameras, parts, accessories and related equipment","","347","229","",,
"4","Audio equipment","","235","234","t",,
"4","Video equipment","","236","234","",,
"4","Home theatre systems","","240","234","t",,
"4","Pre-recorded media, music downloads and blank audio and video media","","241","234","",,
"4","Audio equipment and home theatre systems","","349","234","",,
"4","Blu-ray players","","237","236","t",,
"4","DVD players","","238","236","t",,
"4","Televisions and other video equipment and accessories","","239","236","t",,
"4","DVD players, Blu-Ray players and other video equipment and accessories","","350","236","",,
"4","Televisions","","351","236","",,
"4","Rental of video media","","243","242","t",,
"4","Maintenance and repairs of electronic and communications equipment","","244","242","t",,
"4","Rental of videotapes, DVDs and video games","","352","242","",,
"4","Rental, maintenance, repair and services related to computers, phones, audio, video and other electronic equipment","","353","242","",,
"4","Movie theatres","","246","245","",,
"4","Live sporting and performing arts events","","247","245","",,
"4","Admission fees to museums, zoos and other sites","","248","245","",,
"4","Television and satellite radio services (including installation, service and pay TV charges)","","249","245","",,
"4","Rental of cablevision services (including any installation, service and pay TV charges)","","250","249","t",,
"4","Rental of satellite TV or radio services (including installation, service and pay TV charges)","","251","249","t",,
"4","Dues and fees for sports and recreation facilities","","253","252","t",,
"4","Children's camps","","254","252","",,
"4","Dues and fees for sports and recreational activities and athletic and recreational facilities","","355","252","",,
"4","Water parks and amusement parks","","356","252","t",,
"4","Bicycles (purchase)","","358","257","",,
"4","Motorcycles and snowmobiles (purchase)","","258","257","",,
"4","All-terrain vehicles (purchase)","","259","257","",,
"4","Other recreational vehicles (purchase)","","260","257","",,
"4","Bicycles (purchase), parts and accessories","","261","257","t",,
"4","Insurance premiums for recreational vehicles","","263","262","",9,
"4","Registration fees and licences for recreational vehicles","","264","262","",9,
"4","Parking, storage fees and other dues","","265","262","",,
"4","Other expenses for recreational vehicles","","266","262","",,
"4","Tuition fees for kindergarten, elementary and secondary schools","","268","267","",,
"4","Tuition fees for university","","269","267","",,
"4","Tuition fees for other training (college, trade and professional institutions)","","270","267","",,
"4","Other educational services","","271","267","",15,
"4","Personal interest courses and lessons (excluding driving lessons)","","272","267","",,
"4","Electronic cigarettes and supplies for electronic cigarettes","","323","279","t",,
"4","Other tobacco products, smokers' supplies and e-cigarettes","","360","279","",,
"4","Cigarettes","","280","279","",15,
"4","Other tobacco products and smokers' supplies","","281","279","t",,
"4","Alcoholic beverages served on licensed premises and in restaurants","","283","282","",,
"4","Alcoholic beverages purchased from stores","","284","282","",,
"4","Self-made alcoholic beverages","","285","282","",,
"4","Non-government lotteries and raffle tickets","","289","287","",,
"4","Casinos, bingos and gaming machines","","288","287","",,
"4","Service charges for banks and other financial institutions","","291","290","",13,
"4","Stock and bond commissions","","292","290","t",,
"4","Brokerage fees and other similar services","","293","290","t",,
"4","Other financial services","","294","290","",,
"4","Administration fees for brokers and stock and bond commissions","","362","290","",,
"4","Forfeit of deposits, fines, and money lost or stolen","","296","295","t",,
"4","Legal services not related to dwellings","","297","295","",,
"4","Dues to unions and professional associations","","298","295","",,
"4","Contributions and dues for social clubs and other organizations","","299","295","",,
"4","Funeral services","","300","295","",,
"4","Government services","","301","295","",,
"4","Wholesale/retail memberships","","302","295","",,
"4","Other goods and services","","303","295","",,
"4","Discounts and refunds","","304","295","",,
"4","Recycling fees and other environmental fees","","305","295","",,
"4","Other general expenditures","","306","295","",,
"4","Fines","","363","295","",,
"4","Convenience fees","","367","295","",,
"4","Gifts of money to persons living in Canada","","312","311","",,
"4","Gifts of money to persons living outside Canada","","313","311","",,
"4","Alimony and child support","","314","311","",,
"4","Prescribed medicines and pharmaceutical products","","190","344","",,
"4","Cannabis for medical use","","345","344","",,
"4","Total expenditure","","1","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"3508","Survey of Household Spending"

"Subject Code","Subject Name"
"11","Income, pensions, spending and wealth"

"Note ID",Note
1,"Children are defined as never-married sons, daughters, or foster children of the reference person and may be of any age."
3,"For more information about survey methodology, data quality, variable definitions and data products, see the Survey of Household Spending User Guide (catalogue number 62F0026MIE) available free on the Statistics Canada website: <a href="https://www5.statcan.gc.ca/bsolc/olc-cel/olc-cel?catno=62F0026M&chropg=1&lang=eng">Household expenditures research papers series</a>."
4,"For 2012, household expenditure data were also collected in the three territories. The data are available in table 11-10-0126-01 (formerly CANSIM table 203-0030). However, caution should be used when comparing provincial and territorial data since the collection method was different in the territories."
5,"Expenditures for registration fees for automobiles, vans and trucks and public and private insurance premiums have been combined for the provinces of Manitoba (starting in 2010), Saskatchewan and British Columbia (starting in 2013). In these provinces, it can be difficult to make a clear distinction between registration fees and public and private insurance premiums."
6,"Starting with the 2017 reference year, the Survey of Household Spending (SHS) uses survey weights which take into account population projections from the 2016 Census. Estimates from SHS 2010 to 2016 are based on survey weights which take into account population projections from the 2011 Census."
7,"To ensure data quality, suppression of expenditure estimates is based on the coefficient of variation (CV). Expenditures that have a CV greater than or equal to 35% are suppressed as they are too unreliable to be published."
8,"Starting in 2014, expenditure estimates for provincial health insurance premiums are included with income taxes. These estimates are calculated using information from personal income tax data (T1). Previously, provincial health insurance premiums were included with health care expenditures."
9,"Expenditures for registration fees and licences for recreational vehicles and insurance premiums for recreational vehicles have been combined for Manitoba (starting in 2012). In this province, it can be difficult to make a clear distinction between registration fees and insurance premiums."
10,"Canada-level statistics include the 10 provinces only."
11,"Starting with the 2017 reference year, the Survey of Household Spending is conducted every two years."
12,"Starting in 2019, expenditures for gifts for non-household members are included in amounts reported for clothing, footwear, accessories and jewellery."
13,"Starting in 2019, expenditures for annuity contracts and transfers to Registered Retirement Income Funds (RRIFs) are included with service charges for banks and other financial institutions."
14,"The 2019 Survey of Household Spending questionnaire was streamlined to reduce respondent burden. As a result, some data series are no longer available or have been combined to create new series starting with reference year 2019. As well, estimates for some expenditure categories in 2019 may no longer be directly comparable to those from previous years due to changes to the questionnaire and/or to the mode used to collect certain expenditures. Additional information on the impact of these changes is available upon request."
15,"The estimate for the 2019 reference year may no longer be directly comparable to those from previous years due to changes in the way the data were collected."

"Correction ID","Correction Date","Correction Note"
"1000","2017-11-09","<p>On November 9, 2017, the data from 2014 were corrected for the series "Makeup, skin care, manicure and fragrance products". As a result, the data for the series "Personal care products", "Personal care", "Total current consumption" and "Total expenditure" may have also changed.<br></p>",

